external_job_id,canonical_job_id,in_head
4422032400,canonical_job_d84efc4c6d5542039b2e4e0af6d24260,1
4439431406,canonical_job_6e5aff6063f648ff9f7c2f8e77f1329e,1
4439442179,canonical_job_f12da2c587764f53bc2b4d367f609bb4,1
4439835743,canonical_job_a3ec82b3558f4201b3074a4b4a6d2b30,1
4439846428,canonical_job_f7df3b0d04074b5ea34c3cf3faf68b43,1
4442084866,canonical_job_ef2d793c31b7427cbdefd76816a01d72,1
4442085830,canonical_job_e89fd767c2ca41368b6e5850ffa2421d,1
4442086818,canonical_job_f5088a397ee4468eb9eafc3f5d598cba,1
4442093537,canonical_job_0092b1672c254ece88c12ff1a431f6d0,1
4449128927,canonical_job_74827f8efb5b4655b506601cd875d60d,1
4450092840,canonical_job_13ff145a05944da491f1bf8b83a7783a,1
4452388116,canonical_job_c264f94d3fbe4a799f6080ad2ed00637,1
4453584882,canonical_job_492ebdd41f534c8589c9651a34162d96,1
4453585585,canonical_job_536df64510b741508217573a9058b55e,1
4453585586,canonical_job_b613930e0de445f3b93691bb36a854ef,1
4453588529,canonical_job_ee85387862f84e7eb0e8fe07dcf1c2d0,1
4453588531,canonical_job_7fd1c5b1ea9c45d79ce9717d51121326,1
4453589510,canonical_job_9513cef342304aa89320798deca471fb,1
4453591561,canonical_job_52c6629cd31a40fab5f58df94d9df25d,1
4453591562,canonical_job_f3d0fb9e96e44eddb6fb65591b483f08,1
4453593562,canonical_job_d2286c7626ed41f08b4001494632551b,1
4453700497,canonical_job_4957805ba407417cb8ce896670c4c89b,1
4453701501,canonical_job_2775585f3f594a7c8af98514d92ed235,1
4453705493,canonical_job_92efc528c04b431ab738d3681f597642,1
4453705494,canonical_job_13f461d9fed64f59ab12398b28708814,1
4453706468,canonical_job_c422491d73a3457ea9bc9acc6f018891,1
4453706469,canonical_job_8c7285405ad64bf1b685170afc6472ea,1
4453707472,canonical_job_1916afed201f4dbeb0015fa03685ff59,1
4453895369,canonical_job_8495034f950a4c438550f7422a0c7725,1
4454629298,canonical_job_433d9d2fb38a437ba70820224ecb8492,1
4455874386,canonical_job_793c786465e644cf90b12b00f5f44992,1
4456537727,canonical_job_ea6e1b98135f4dd79722a7fcc1b1ef0e,1
